Round Number,Train Loss,Test Accuracy
211,0.11441884724224398,0.9107630789736755
212,0.11295328821893552,0.9107630789736755
213,0.11170717293702151,0.9103632122625791
214,0.11052934207830829,0.9104298567144286
215,0.11102656657073963,0.9093635454848384
216,0.10946805730940515,0.9107630789736755
217,0.10751682985488928,0.9112295901366211
218,0.10744515956037304,0.9109630123292236
219,0.10651187111655062,0.9103632122625791
220,0.10520195258925522,0.9116294568477175
221,0.10439548543471391,0.9114295234921693
222,0.10328012054971197,0.9111629456847717
223,0.10235476386728994,0.9113628790403199
224,0.10072375860659406,0.9117627457514162
225,0.10022627075596449,0.9111629456847717
226,0.09947861474787412,0.9105631456181273
227,0.09803757257571147,0.9117627457514162
228,0.09678781731227908,0.9114295234921693
229,0.0953739358884411,0.9109630123292236
230,0.0945392539937426,0.9112295901366211
231,0.09482886607322666,0.9104965011662779
232,0.09322078806425327,0.910163278907031
233,0.0934332464774537,0.9094301899366878
234,0.09159225087005475,0.9104965011662779
235,0.09075182418664304,0.910696434521826
236,0.08977184495844573,0.9109630123292236
237,0.08878158993934192,0.9112295901366211
238,0.08762057225863523,0.9114295234921693
239,0.0869581313604914,0.911562812395868
240,0.0863701081021423,0.9114961679440187
241,0.08534351781632692,0.9104965011662779
242,0.08474249729249711,0.9098967010996335
243,0.08304697258098831,0.9116961012995668
244,0.08236399172351501,0.910696434521826
245,0.08178979616667095,0.9108297234255248
246,0.0811805619812248,0.9117627457514162
247,0.08023261520074801,0.9111629456847717
248,0.07907844322812653,0.9108963678773742
249,0.07873894180004669,0.9105631456181273
250,0.07772326157407135,0.9113628790403199
251,0.07733191369021529,0.9102299233588804
252,0.0765012205256682,0.9100966344551816
253,0.07572452038684999,0.910696434521826
254,0.0742636641650151,0.9108963678773742
255,0.07314293442943842,0.910696434521826
256,0.07290309050617602,0.9098967010996335
257,0.0714957790263879,0.9116294568477175
258,0.07076463127781894,0.9109630123292236
259,0.07112844700314766,0.9114961679440187
260,0.06999385158796292,0.9111629456847717
261,0.06907297699159841,0.911029656781073
262,0.0686414292378645,0.9102965678107298
263,0.0678786045368061,0.9102965678107298
264,0.06719588747985897,0.9107630789736755
265,0.06668486714615648,0.9110963012329224
266,0.06565896294631746,0.9107630789736755
267,0.06654887612325043,0.9092302565811397
268,0.06464595238616305,0.9108297234255248
269,0.06411992581645405,0.910163278907031
270,0.0630443243693715,0.9112295901366211
271,0.06249935770089736,0.9108297234255248
272,0.06181236156798165,0.9100966344551816
273,0.06122642404164775,0.9108963678773742
274,0.060449951646455106,0.9102965678107298
275,0.059916272381805365,0.9100299900033322
276,0.05932389532610147,0.9102965678107298
277,0.05840877411832007,0.9102299233588804
278,0.058153488673157235,0.9103632122625791
279,0.057026936217758416,0.9102299233588804
280,0.05683748242102159,0.9105631456181273
281,0.055811206105323384,0.9108963678773742
282,0.05538491246084754,0.910696434521826
283,0.055515760351889,0.9094968343885371
284,0.05444928559392649,0.9097634121959347
285,0.053924758022926934,0.9105631456181273
286,0.0532540605980679,0.9103632122625791
287,0.05307986544178144,0.9100966344551816
288,0.05240682657626586,0.9113628790403199
289,0.05168060774124451,0.910163278907031
290,0.051388130184026715,0.9104965011662779
291,0.05053446520226816,0.9109630123292236
